linux_yum_dnf
=============
::

    Last metadata expiration check: 0:00:01 ago on Mon Dec 28 12:56:38 2020.
    Available Packages
    intel-oneapi-pytorch.x86_64                                                        1.5.0-726     oneAPI
    intel-oneapi-rkcommon.x86_64                                                       1.5.0-118     oneAPI
    intel-oneapi-rkcommon-1.5.0.x86_64                                                 1.5.0-118     oneAPI
    intel-oneapi-rkutil.x86_64                                                         1.0.0-76      oneAPI
    intel-oneapi-rkutil-1.0.0.x86_64                                                   1.0.0-76      oneAPI
    intel-oneapi-runtime-ccl.x86_64                                                    2021.1.1-54   oneAPI
    intel-oneapi-runtime-compilers.x86_64                                              2021.1.2-266  oneAPI
    intel-oneapi-runtime-compilers-32bit.i686                                          2021.1.2-266  oneAPI
    intel-oneapi-runtime-compilers-common.noarch                                       2021.1.2-266  oneAPI
    intel-oneapi-runtime-dal.x86_64                                                    2021.1.1-79   oneAPI
    intel-oneapi-runtime-dnnl.x86_64                                                   2021.1.1-55   oneAPI
    intel-oneapi-runtime-dpcpp-cpp.x86_64                                              2021.1.2-266  oneAPI
    intel-oneapi-runtime-dpcpp-cpp-32bit.i686                                          2021.1.2-266  oneAPI
    intel-oneapi-runtime-dpcpp-cpp-common.noarch                                       2021.1.2-266  oneAPI
    intel-oneapi-runtime-dpcpp-library.x86_64                                          2021.1.2-266  oneAPI
    intel-oneapi-runtime-dpcpp-library-32bit.i686                                      2021.1.2-266  oneAPI
    intel-oneapi-runtime-fortran.x86_64                                                2021.1.2-266  oneAPI
    intel-oneapi-runtime-fortran-32bit.i686                                            2021.1.2-266  oneAPI
    intel-oneapi-runtime-fortran-common.noarch                                         2021.1.2-266  oneAPI
    intel-oneapi-runtime-ipp.x86_64                                                    2021.1.1-47   oneAPI
    intel-oneapi-runtime-ipp-32bit.i686                                                2021.1.1-47   oneAPI
    intel-oneapi-runtime-ipp-common.noarch                                             2021.1.1-47   oneAPI
    intel-oneapi-runtime-ipp-crypto.x86_64                                             2021.1.1-54   oneAPI
    intel-oneapi-runtime-ipp-crypto-32bit.i686                                         2021.1.1-54   oneAPI
    intel-oneapi-runtime-ipp-crypto-common.noarch                                      2021.1.1-54   oneAPI
    intel-oneapi-runtime-libs.x86_64                                                   2021.1.1-26   oneAPI
    intel-oneapi-runtime-libs-32bit.i686                                               2021.1.1-26   oneAPI
    intel-oneapi-runtime-mkl.x86_64                                                    2021.1.1-52   oneAPI
    intel-oneapi-runtime-mkl-32bit.i686                                                2021.1.1-52   oneAPI
    intel-oneapi-runtime-mkl-common.noarch                                             2021.1.1-52   oneAPI
    intel-oneapi-runtime-mpi.x86_64                                                    2021.1.1-76   oneAPI
    intel-oneapi-runtime-opencl.x86_64                                                 2021.1.2-266  oneAPI
    intel-oneapi-runtime-openmp.x86_64                                                 2021.1.2-266  oneAPI
    intel-oneapi-runtime-openmp-32bit.i686                                             2021.1.2-266  oneAPI
    intel-oneapi-runtime-openmp-common.noarch                                          2021.1.2-266  oneAPI
    intel-oneapi-runtime-tbb.x86_64                                                    2021.1.1-119  oneAPI
    intel-oneapi-runtime-tbb-32bit.i686                                                2021.1.1-119  oneAPI
    intel-oneapi-runtime-tbb-common.noarch                                             2021.1.1-119  oneAPI
    intel-oneapi-runtime-vpl.x86_64                                                    2021.1.1-66   oneAPI
    intel-oneapi-tbb.x86_64                                                            2021.1.1-119  oneAPI
    intel-oneapi-tbb-2021.1.1.x86_64                                                   2021.1.1-119  oneAPI
    intel-oneapi-tbb-32bit.i686                                                        2021.1.1-119  oneAPI
    intel-oneapi-tbb-32bit-2021.1.1.i686                                               2021.1.1-119  oneAPI
    intel-oneapi-tbb-common-2021.1.1.noarch                                            2021.1.1-119  oneAPI
    intel-oneapi-tbb-common-devel-2021.1.1.noarch                                      2021.1.1-119  oneAPI
    intel-oneapi-tbb-devel.x86_64                                                      2021.1.1-119  oneAPI
    intel-oneapi-tbb-devel-2021.1.1.x86_64                                             2021.1.1-119  oneAPI
    intel-oneapi-tbb-devel-32bit.x86_64                                                2021.1.1-119  oneAPI
    intel-oneapi-tbb-devel-32bit-2021.1.1.x86_64                                       2021.1.1-119  oneAPI
    intel-oneapi-tensorflow.x86_64                                                     2.2.0-219     oneAPI
    intel-oneapi-vtune.x86_64                                                          2021.1.1-61   oneAPI
    intel-renderkit.x86_64                                                             2021.1.0-627  oneAPI
    intel-renderkit-2021.1.0.x86_64                                                    2021.1.0-627  oneAPI
    intel-renderkit-32bit.i686                                                         2021.1.0-627  oneAPI
    intel-renderkit-32bit-2021.1.0.i686                                                2021.1.0-627  oneAPI
    intel-renderkit-getting-started.noarch                                             2021.1.0-627  oneAPI
    intel-renderkit-runtime.x86_64                                                     2021.1.0-627  oneAPI
    intel-renderkit-runtime-2021.1.0.x86_64                                            2021.1.0-627  oneAPI
    intel-renderkit-runtime-32bit.i686                                                 2021.1.0-627  oneAPI
    intel-renderkit-runtime-32bit-2021.1.0.i686                                        2021.1.0-627  oneAPI
    opae.pac_sign.x86_64                                                               1.0.3-1       oneAPI


